#NAME	GSM442218	GSM442219	GSM442220	GSM442221
#CLASS	absent	absent	present	present
1007_s_at	55.3	51.1	48.0	41.3
1053_at	254.2	248.0	320.5	348.7
117_at	32.1	33.9	14.6	15.7
121_at	117.6	77.6	181.9	133.2
1255_g_at	1.2	4.0	4.4	1.2
1294_at	317.1	341.6	190.4	183.2
1316_at	13.6	10.8	20.3	24.5
1320_at	1.7	1.2	4.8	2.0
1405_i_at	1948.1	1857.3	3298.5	3511.5
1431_at	4.1	7.2	4.1	7.2
1438_at	3.0	10.1	9.0	2.8
1487_at	179.2	164.2	138.0	131.6
1494_f_at	13.9	7.9	20.9	17.4
1552256_a_at	48.6	67.7	228.3	185.9
1552257_a_at	337.1	331.0	475.8	447.2
1552258_at	1.8	20.1	14.9	11.4
1552261_at	4.2	5.3	4.0	4.9
1552263_at	273.1	279.2	89.0	80.6
1552264_a_at	496.1	555.2	192.0	204.2
1552266_at	1.0	0.6	10.6	6.7
1552269_at	4.4	5.6	1.8	3.9
1552271_at	5.5	8.5	9.9	5.2
1552272_a_at	35.8	30.7	20.0	21.3
1552274_at	120.3	123.9	135.9	139.7
1552275_s_at	144.3	196.4	151.3	164.3
1552276_a_at	22.2	36.1	9.0	5.0
1552277_a_at	200.3	199.0	218.6	244.2
1552278_a_at	1.4	7.1	21.8	20.3
1552279_a_at	28.0	24.6	42.6	35.0
1552280_at	39.0	53.1	4.9	9.7
1552281_at	13.2	20.3	6.6	2.8
1552283_s_at	18.4	19.5	10.1	11.6
1552286_at	33.4	27.9	51.1	39.2
1552287_s_at	152.0	151.9	132.8	135.9
1552288_at	7.2	3.3	1.6	4.7
1552289_a_at	9.6	3.2	13.0	3.2
1552291_at	137.6	172.7	202.9	219.9
1552293_at	1.1	1.6	3.3	2.4
1552295_a_at	150.5	130.7	114.6	127.9
1552296_at	8.4	7.8	13.5	3.0
1552299_at	16.4	9.0	16.9	5.4
1552301_a_at	22.6	26.9	28.9	25.2
1552302_at	35.8	28.4	28.0	34.1
1552303_a_at	36.7	27.7	37.3	41.2
1552304_at	10.1	23.5	13.4	6.9
1552306_at	30.1	46.8	39.9	30.8
1552307_a_at	165.8	188.5	42.7	31.7
1552309_a_at	29.6	44.6	9.0	14.9
1552310_at	170.3	150.8	187.0	177.8
1552311_a_at	8.0	14.7	20.2	20.2
1552312_a_at	47.8	62.9	45.4	57.1
1552314_a_at	27.5	24.4	21.1	19.0
1552315_at	414.5	481.3	32.6	47.7
1552316_a_at	587.8	690.9	54.9	42.2
1552318_at	299.5	386.4	28.2	28.2
1552319_a_at	8.3	6.9	5.8	10.8
1552320_a_at	17.7	19.1	8.9	9.9
1552321_a_at	18.6	18.6	2.3	3.7
1552322_at	6.3	13.0	7.5	8.3
1552323_s_at	16.5	29.4	17.8	18.0
1552325_at	7.6	9.9	6.2	8.6
1552326_a_at	3.5	0.8	8.4	1.4
1552327_at	6.8	1.9	45.0	24.0
1552329_at	46.6	63.6	55.8	43.6
1552330_at	70.1	85.0	93.3	81.0
1552332_at	46.7	53.7	15.5	59.4
1552334_at	47.8	53.6	38.1	30.8
1552335_at	16.1	16.3	26.1	14.0
1552337_s_at	9.1	2.6	18.0	1.2
1552338_at	0.8	0.8	18.5	33.7
1552340_at	10.2	2.9	3.6	2.2
1552343_s_at	36.1	25.0	48.1	44.8
1552344_s_at	86.1	86.8	66.3	79.0
1552347_at	79.4	105.4	152.5	168.1
1552348_at	18.3	2.7	3.5	12.1
1552349_a_at	13.9	3.5	7.9	5.1
1552354_at	3.9	3.4	4.1	7.9
